tract,tree,grassShrub,bare,water,buildings,roads,otherPaved,totalPixels,percentImp
133,244578.077,554670.0493,0,0,1320673.826,701839.611,1030904.788,3852666.351,0.792546758
135,504381.1086,840274.9198,6842.631268,0,1446270.702,626872.6067,933646.2427,4358288.212,0.689901495
137,550149.9535,1066058.756,0,5959.80786,2109000.137,1074622.043,1541587.636,6347378.334,0.744434878
170,2701165.686,4106688.539,20375.9242,476255.7346,3509862.922,2203484.237,4416536.56,17434369.6,0.581029538
171,1469512.053,3771564.574,20978.80361,0,2571343.654,1513421.27,2930004.911,12276825.27,0.571383048
173,475980.7896,1232858.391,0,0,2677497.42,1854108.123,3173911.123,9414355.846,0.818485809
174,389500.0883,822032.5688,4052.189441,0,1011370.696,750001.9771,833237.3275,3810194.847,0.680965175
175,782642.448,1269665.029,0,67239.55007,2368807.167,1447094.538,1880360.871,7815809.604,0.728812863
178,406465.6947,1110454.876,6254.748863,0,2488439.237,1225017.96,1898140.315,7134772.831,0.786513831
179,554999.9834,1223832.197,0,0,2190488.837,1342399.48,2373925.144,7685645.64,0.768551367
183,1887988.346,6604932.815,14132.17314,1285434.874,2416004.727,3036354.638,5669752.879,20914600.45,0.531786981
184,664098.1604,2625560.809,110821.8323,9882121.279,2062537.431,1150554.855,7602601.252,24098295.62,0.448815705
188,414453.0969,548530.2775,0,0,2891085.696,1198347.295,2087897.358,7140313.723,0.865134305
217,3880572.769,5736426.543,69257.14649,1054.789011,2577440.435,1730223.903,2790482.82,16785458.4,0.422874788
218,3281682.565,3568556.182,0,0,1531980.558,862429.4882,1764150.117,11008798.91,0.377748762
219,7320149.75,5301403.56,8823.235088,456666.653,841066.7614,723654.2474,1088693.229,15740457.44,0.16857288
220,16300081.49,11816444.36,51929.61252,949020.1675,1150236.918,853696.2351,1558663.221,32680072.01,0.109014337
9801,51705716.31,7861277.509,114785.0395,1756563.635,120955.8052,1329413.077,524680.0482,63413391.42,0.031145613
231,3591894.513,1966314.678,0,1061.787611,975063.958,632207.5395,697704.4382,7864246.915,0.29309557
235,4411649.538,2338197.29,0,0,781101.7562,447402.5061,614706.0403,8593057.131,0.214499947
236,4737204.417,2468743.177,0,0,1427896.378,994750.0201,899091.1548,10527685.15,0.315524021
237,3941504.581,2936555.601,0,0,1997859.368,1244290.105,1428560.245,11548769.9,0.404433525
238,2518686.187,2112828.371,0,0,1902187.505,757123.5526,1122511.464,8413337.08,0.449503269
239,2913451.222,977550.4606,6222.755262,7681.463477,372574.4739,460725.841,520522.8798,5258729.096,0.257443038
240,1508636.227,1425615.834,0,0,1626793.592,834008.1733,1245537.855,6640591.682,0.558133943
257,2337507.428,1666456.659,0,0,1506059.743,835403.8942,1682069.536,8027497.26,0.501218878
258,1415709.816,2764792.958,31527.69352,0,614523.0769,528920.2001,954753.0207,6310226.765,0.332507274
259,465284.9291,1219254.113,18968.20579,0,1467622.431,1001107.748,1737574.433,5909811.86,0.711749327
260,722647.4488,1916189.705,19496.1002,0,912723.4279,804121.1516,1463659.224,5838837.057,0.544715287
261,955235.9242,1943916.158,11177.76411,0,1310563.848,1106136.739,1662046.541,6989076.975,0.583588812
262,765748.8273,1647675.415,8451.309485,0,1155670.831,1009132.143,1397248.508,5983927.035,0.595269872
348.01,3108645.178,5123153.216,48289.34068,28201.35888,2083738.19,1509128.129,3065812.745,14966968.16,0.444891644
263.02,846701.6343,1422589.439,0,0,2014030.134,1366682.622,1927257.491,7577261.32,0.700513025
